ID,Title,SortTitle,Filed As,CallNum,IsPartOf,Related,issn,eissn,country,provState,cityTown,location,holdingCoverage,contentStart,contentEnd,gaps,pubDate,pubHistoryImage,notesTitle,frequency,localNotes,Column,Column2,First Issue Verbatim Date,First Issue Start Date,First Issue End Date,Last Issue Verbatim Date,Last Issue Start Date,Last Issue End Date
1,Bahama Gazette,Bahama Gazette,Bahama Gazette,,1,N,,,BS,New Providence,Nassau,HIL-MIC,"Aug 14, 1784 - Dec 1786; 1789 - 1800; [1812 - 1815]; [1819]",1784-08-14,1819-01-01,Y,1784 - 1800s,N,,,"Many missing issues (i.e. Jan. 2, May-Dec. 1815, Jan. - Mar. 10, Jun. 16 - Dec. 31, 1819). ",,,1784,01/01/1784,31/12/1784,1800s,01/01/1800,13/12/1899
2,Calgary Eye Opener,Calgary Eye Opener,Calgary Eye Opener,,2,N,1497-973X,,CA,AB,Calgary,HIL-MIC,"[May 6, 1911 - Nov 25, 1922]",1911-05-06,1922-11-25,Y,"Apr 1911 - Aug 18, 1923?",N,,Semi-monthly,The newspaper is in poor condition.,,,Apr-11,01/04/1911,30/04/1911,"Aug 18, 1923?",18/08/1923,
3,Calgary Typo News,Calgary Typo News,,HD8101 .C33,6,N,,,CA,AB,Calgary,HIL-MIC,01-Mar-35,1935-03-01,1935-03-01,N,"Jan 15, 1935 - Mar 1, 1935",N,,,First paper newspaper on the reel.,,,15-Jan-35,15/01/1935,,01-Mar-35,01/03/1935,
4,Canadian Miner (Western Edition),Canadian Miner (Western Edition),,HD8101 .W64,4,N,0382-6821,,CA,AB,Calgary,HIL-MIC,"Oct 12, 1931 - Feb 10, 1932",1931-10-12,1932-02-10,N,"Oct 12, 1931 - Apr 24, 1933?",N,,,,,,12-Oct-31,12/10/1931,,"Apr 24, 1933?",24/04/1933,
5,"The Sun (Vancouver, British Columbia : 1973)","Sun (Vancouver, British Columbia : 1973)",Vancouver Sun,,37,N,0839-4857,,CA,BC,Vancouver,HIL-MIC,"Jan 17, 1959 - May 28, 1973",1959-01-17,1973-05-28,N,"Jan 17, 1959 - May 28, 1973",N,,Daily,,,,17-Jan-59,17/01/1959,,28-May-73,28/05/1973,
6,Typo News,Typo News,,HD8101 .C33,6,N,,,CA,AB,Calgary,HIL-MIC,"[Mar 9, 1935 - Aug 16, 1935]",1935-03-09,1935-08-16,Y,"Mar 9, 1935 - Nov 8, 1935?",N,,,First paper newspaper on the reel.,,,09-Mar-35,09/03/1935,,"Nov 8, 1935?",08/11/1935,
7,"Western Miner (Calgary, Alberta)","Western Miner (Calgary, Alberta)",,HD8101 .W64,4,N,0700-4435,,CA,AB,Calgary,HIL-MIC,"Sept 18, 1930 - Sept 8, 1931",1930-09-18,1931-09-08,N,"Sept 18, 1930 - Sept 8, 1931",N,,,,,,18-Sep-30,18/09/1930,,08-Sep-31,08/09/1931,
8,Eye Opener ,Eye Opener ,Calgary Eye Opener,,2,N,1497-9721,,CA,AB,High River,HIL-MIC,"June 6, 1902 - Feb 11, 1911",1902-06-06,1911-02-11,N,"June 6, 1902 - Feb 11, 1911",N,,Weekly,"Published in various locations at various points: Calgary, Alberta (1903-1904); Port Arthur, Ontario (1909); Winnipeg, Manitoba (1909-1911). Poor condition. |Many missing issues.",,,06-Jun-02,06/06/1902,,11-Feb-11,11/02/1911,
9,"Western Miner (Lethbridge, Alberta)","Western Miner (Lethbridge, Alberta)",,HD8101 .W64,4,N,,,CA,AB,Lethbridge,HIL-MIC,"Feb 20, 1930 - June 27, 1930",1930-02-20,1930-06-27,N,"Feb 20, 1930 - June 27, 1930",N,,,"Last newspaper reel four of The Worker (Toronto, Ontario).",,,20-Feb-30,20/02/1930,,27-Jun-30,27/06/1930,
10,British Columbia Labour Truth,British Columbia Labour Truth,,HD8102 .B62,10,N,,,CA,BC,Vancouver,HIL-MIC,May 1934 - Nov 1939,1934-05-01,1939-11-01,N,May 1934 - Nov 1939,N,Variant title: Labour Truth. ,,First newspaper on the reel. ,,,May-34,01/05/1934,31/05/1934,Nov-39,01/11/1939,30/11/1939
