UUID,Newspaper Title,Abbreviated Title,City of Publication,Province of Publication,Country of Publication,Geographic Coverage,Publisher,First Issue Verbatim Date,First Issue Start Date,First Issue End Date,Last Issue Verbatim Date,Last Issue Start Date,Last Issue End Date,Frequency,Subject/Blurb,ISSN,Credit,Internal: ingest status
1,Aroostook Pioneer,,Houlton,ME,US,,Presque Isle; W.S. Gilman,"December 1, 1857",01/12/1857,,11-Jan-33,11/01/1933,,Weekly,"United States, Maine, Aroostook, Houlton",Not Found,Library and Archives Canada,0
2,Atlantic Business Report,ABR,Moncton,NB,CA,,,Feb-92,01/02/1992,28/02/1992,1995 or 1996,01/01/1995,31/12/1996,5x per year,,1192-0203,Library and Archives Canada,0
3,Baldwin's London Weekly Journal,BLWJ,London, Middlesex,GB,,,"December 28, 1816",28/12/1816,,,,,,,Not Found,HIL Microforms,0
4,The Brunswick Business Journal,BBJ,Fredericton,NB,CA,,Widdy Pub. Co.,"July 12, 1884",12/07/1884,,1995?,01/01/1995,31/12/1995,Biweekly,New Brunswick commerce periodicals,0829-5239,Library and Archives Canada,0
6,Canadian Record,CR,Saint John,NB,CA,New Brunswick,,1882,01/01/1882,31/12/1882,,,,Monthly,,Not Found,"W.W. Butcher's Canadian Newspaper Directory, Canada Newspaper Advertising Agency, Toronto Canada, 1886",0
7,Carleton North News,CNN,Florenceville,NB,CA,New Brunswick,Henley Publishing Ltd.,05-Apr-93,05/04/1993,,01-Dec-94,01/12/1994,,Weekly,Not Found,Not Found,Library and Archives Canada,0
8,Church Guardian,CG,Moncton,NB,CA,,Church of England,1880,01/01/1880,31/12/1880,?,,,Unknown,,Not Found,PANB Newspaper Directory,0
9,Colonial Empire,,Saint John,NB,CA,,,1861,01/01/1861,31/12/1861,1863?,01/01/1863,31/12/1863,Varies,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
10,The Colonial Presbyterian,,St. Stephen,NB,CA,,,1855,01/01/1855,31/12/1855,?,,,Varies,,,PANB Newspaper Directory,0
11,Colonial Times,CT,Chatham,NB,CA,Chatham (and later Richibucto),Davis P. Howe (publishing editor),"August 29, 1856",29/08/1856,,,,,Weekly,"""Devoted to Politics, Literature, Education, Agriculture, Commerce and General Intelligence"" and to promotion of the Miramichi Area",Not Found,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
12,The Daily Journal,TDJ,Saint John,NB,CA,,,26-Jun-22,26/06/1922,,14-Jul-23,14/07/1923,,Daily,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
13,The Daily Leader,,Moncton,NB,CA,,,"March 11, 1895",11/03/1895,,"August 1, 1895",01/08/1895,,Daily,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
14,Eastern Advocate,EA,Hillsboro,NB,CA,,?,"October (?), 1863",01/01/1863,31/12/1863,1868,01/01/1868,31/12/1868,Weekly,,Not Found,PANB Newspaper Directory,0
15,Forum of New Brunswick Education,FNBE,Fredericton,NB,CA,,,2/1/1943,,,?,,,Monthly,,1716-2106,Library and Archives Canada,0
16,The Free Press,FP,Saint John,NB,CA,,"New Brunswick Free Press, Ltd.",23-Oct-36,23/10/1936,,?,,,Varies,,,PANB Newspaper Directory,0
17,Gagetown Gazette,GG,Oromocto,NB,CA,New Brunswick,,14-Apr-66,14/04/1966,,26-Jul-72,26/07/1972,,Weekly,,0315-6397,HIL Microforms,0
18,Gigmanag,GM,Charlottetown,PE,CA,Prince Edward Island,Native Council of Prince Edward Island,01-Feb-76,01/02/1976,,,,,Monthly,"Local and national news, with a focus on reporting on the Prince Edward Island Association of Metis and Non-Status Indians.",0226-6202,"""Island Newspapers Database,"" by UPEI",0
20,Grand Falls Gazette,,Grand Falls,NB,CA,,"Merritt, S.J.",1927,01/01/1927,31/12/1927,?,,,Weekly,,,PANB Newspaper Directory,0
22,Houlton Pioneer Times,HPT,Houlton,ME,US,,Houlton Pub. Co.,"January 18, 1933",18/01/1933,,?,,,Weekly,,,Library and Archives Canada,0
23,The Independent (2003),,St. John's,NL,CA,Newfoundland and Labrador,"Dobbin, Brian.",2003,01/01/2003,31/12/2003,2008,01/01/2008,31/12/2008,Unknown,,Not Found,theindependent.ca/about,0
24,The Kennebecasis Valley Post,TKVP,Fairvale,NB,CA,,Kennebecasis Publishing Co. Ltd.,12-Feb-79,12/02/1979,,19-Jun-81,19/06/1981,,Varies,,Not Found,PANB Newspaper Directory,0
25,La/ The Gazette,TLG,Grand Falls,NB,CA,,Henley Publishing LTd.,04-Jun-80,04/06/1980,,30-Dec-80,30/12/1980,,,,Not Found,PANB Newspaper Directory,0
26,The Liberal News,,Saint John,NB,CA,,"Ellis, F.B.",24-Oct-04,24/10/2004,,04-Nov-04,04/11/2004,,Daily,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
27,Liberal Notes,LN,Saint John,NB,CA,,Elder. Wm. Rev.,"June 1, 1882",01/06/1882,,"June 19, 1882",19/06/1882,,Unknown,,,PANB Newspaper Directory,0
28,The Liberal Review,LBR,,,US,,Council for Liberal Democracy ,01-Mar-86,01/03/1986,,12/1/1987,12/01/1987,,Monthly,,Not Found,Library and Archives Canada,0
30,Mal-I-Mic News,MIM,Fredericton,NB,CA,,New Brunswick Assoc. of Metis & Non-Status Indians,1973,01/01/1973,31/12/1973,Present,,,Monthly,,0382-7291,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
31,The Maritime Broadcaster,MB,Saint John,NB,CA,,,29-Nov-30,29/11/1930,,01-Jul-36,01/07/1936,,Weekly,,Not Found,Library and Archives Canada,0
32,Miramichi Headwaters,MH,Doaktown,NB,CA,New Brunswick,Cadogan Publishing Ltd.,07-May-85,07/05/1985,,07-May-85,07/05/1985,,Weekly,,Not Found,HIL Microforms,0
33,Miramichi Press,,Chatham,NB,CA,,,01-Nov-64,01/11/1964,,22-Oct-75,22/10/1975,,Weekly,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
36,Nova Scotian,NS,Halifax,NS,CA,Nova Scotia,,1825,01/01/1825,31/12/1825,,,,Weekly,,,"W.W. Butcher's Canadian Newspaper Directory, Canada Newspaper Advertising Agency, Toronto Canada, 1886",0
37,The Novascotian or Colonial Herald,NCH,,,US,,,,,,,,,,,,,0
38,Presbyterian Advocate,,Saint John,NB,CA,,Morning Telegraph,"June 5, 1869",05/06/1869,,"June 1, 1876",01/06/1876,,Weekly,,,PANB Newspaper Directory,0
40,The Providence Gazette and Country Journal,PGCJ,Providence,RI,US,"Providence, R.I.","Goddard, W.",1762,01/01/1762,31/12/1762,1795,01/01/1795,31/12/1795,Weekly,,,Library of Congress,0
42,The Quoddy Tides,QT,Eastport,ME,US,Maine,"French, Edward",09-Nov-68,09/11/1968,,?,,,Semimonthly,"United States, Maine, Washington, Eastport",1521-1266,Library and Archives Canada,0
43,The Recorder,,Saint John,NB,CA,,Recorder Publishing Co. Ltd.,20-Nov-30,20/11/1930,,1936,01/01/1936,31/12/1936,Weekly,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
45,The Restigouche Telephone,,Cap-Pelé,NB,CA,,"Chandler, E.W.","April 8, 1897",08/04/1897,,1901?,01/01/1901,31/12/1901,Varies,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
46,Riverview Gazette,RG,Riverview,NB,CA,,B.H. Publications Ltd.,09-Feb-83,09/02/1983,,21-Jun-83,21/06/1983,,Weekly,,0823-7573,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
47,Riverview This Week,RW,Riverview,NB,CA,New Brunswick,This Week Publications Ltd.,01-Nov-83,01/11/1983,,03-Sep-86,03/09/1986,,Weekly,,0827-2689,HIL Microforms,0
48,Saint John Weekly Globe,,Saint John,NB,CA,,,1860,01/01/1860,31/12/1860,1861,01/01/1861,31/12/1861,Weekly,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
49,The Semi Weekly Telegraph,SWT,Saint John,NB,CA,,,1898,01/01/1898,31/12/1898,March 1910?,01/03/1910,31/12/1910,2/weekly,,,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
50,The Semi-Weekly Mail,SWM,Fredericton,NB,CA,New Brunswick,,"December 14, 1889",14/12/1889,,1909?,01/01/1909,31/12/1909,Semiweekly,"Canada, New Brunswick, Fredericton",1483-9393,"""Historical Directory of New Brunswick Newspapers and Periodicals,"" by J. Russell Harper",0
