UUID,Parent Issue, Page Number, Page Sort, Image, OCR, HOCR
1,1,"1", "1","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_04/001_PD_1878_01_04_01.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_04/001_PD_1878_01_04_01.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_04/001_PD_1878_01_04_01.jpg.hocr"
2,1,"2", "2","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_04/002_PD_1878_01_04_02.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_04/002_PD_1878_01_04_02.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_04/002_PD_1878_01_04_02.jpg.hocr"
3,1,"3", "3","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_04/003_PD_1878_01_04_03.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_04/003_PD_1878_01_04_03.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_04/003_PD_1878_01_04_03.jpg.hocr"
4,1,"4", "4","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_04/004_PD_1878_01_04_04.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_04/004_PD_1878_01_04_04.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_04/004_PD_1878_01_04_04.jpg.hocr"
5,2,"1", "1","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_09/001_PD_1878_01_09_01.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_09/001_PD_1878_01_09_01.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_09/001_PD_1878_01_09_01.jpg.hocr"
6,2,"2", "2","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_09/002_PD_1878_01_09_02.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_09/002_PD_1878_01_09_02.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_09/002_PD_1878_01_09_02.jpg.hocr"
7,2,"3", "3","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_09/003_PD_1878_01_09_03.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_09/003_PD_1878_01_09_03.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_09/003_PD_1878_01_09_03.jpg.hocr"
8,2,"4", "4","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_09/004_PD_1878_01_09_04.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_09/004_PD_1878_01_09_04.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_09/004_PD_1878_01_09_04.jpg.hocr"
9,3,"1", "1","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19/001_PD_1878_01_19_01.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19/001_PD_1878_01_19_01.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19/001_PD_1878_01_19_01.jpg.hocr"
10,3,"2", "2","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19/002_PD_1878_01_19_02.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19/002_PD_1878_01_19_02.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19/002_PD_1878_01_19_02.jpg.hocr"
11,3,"3", "3","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19/003_PD_1878_01_19_03.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19/003_PD_1878_01_19_03.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19/003_PD_1878_01_19_03.jpg.hocr"
12,3,"4", "4","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19/004_PD_1878_01_19_04.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19/004_PD_1878_01_19_04.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19/004_PD_1878_01_19_04.jpg.hocr"
13,4,"1", "1","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19B/001_PD_1878_01_19B_01.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19B/001_PD_1878_01_19B_01.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19B/001_PD_1878_01_19B_01.jpg.hocr"
14,4,"2", "2","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19B/002_PD_1878_01_19B_02.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19B/002_PD_1878_01_19B_02.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19B/002_PD_1878_01_19B_02.jpg.hocr"
15,4,"3", "3","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19B/003_PD_1878_01_19B_03.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19B/003_PD_1878_01_19B_03.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19B/003_PD_1878_01_19B_03.jpg.hocr"
16,4,"4", "4","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19B/004_PD_1878_01_19B_04.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19B/004_PD_1878_01_19B_04.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_19B/004_PD_1878_01_19B_04.jpg.hocr"
17,5,"1", "1","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_20/001_PD_1878_01_20_01.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_20/001_PD_1878_01_20_01.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_20/001_PD_1878_01_20_01.jpg.hocr"
18,5,"2", "2","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_20/002_PD_1878_01_20_02.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_20/002_PD_1878_01_20_02.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_20/002_PD_1878_01_20_02.jpg.hocr"
19,5,"3", "3","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_20/003_PD_1878_01_20_03.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_20/003_PD_1878_01_20_03.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_20/003_PD_1878_01_20_03.jpg.hocr"
20,5,"4", "4","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_20/004_PD_1878_01_20_04.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_20/004_PD_1878_01_20_04.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_20/004_PD_1878_01_20_04.jpg.hocr"
21,6,"1", "1","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_21/001_PD_1878_01_21_01.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_21/001_PD_1878_01_21_01.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_21/001_PD_1878_01_21_01.jpg.hocr"
22,6,"2", "2","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_21/002_PD_1878_01_21_02.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_21/002_PD_1878_01_21_02.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_21/002_PD_1878_01_21_02.jpg.hocr"
23,6,"3", "3","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_21/003_PD_1878_01_21_03.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_21/003_PD_1878_01_21_03.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_21/003_PD_1878_01_21_03.jpg.hocr"
24,6,"4", "4","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_21/004_PD_1878_01_21_04.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_21/004_PD_1878_01_21_04.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_21/004_PD_1878_01_21_04.jpg.hocr"
25,7,"1", "1","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_22/001_PD_1878_01_22_01.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_22/001_PD_1878_01_22_01.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_22/001_PD_1878_01_22_01.jpg.hocr"
26,7,"2", "2","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_22/002_PD_1878_01_22_02.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_22/002_PD_1878_01_22_02.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_22/002_PD_1878_01_22_02.jpg.hocr"
27,7,"3", "3","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_22/003_PD_1878_01_22_03.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_22/003_PD_1878_01_22_03.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_22/003_PD_1878_01_22_03.jpg.hocr"
28,7,"4", "4","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_22/004_PD_1878_01_22_04.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_22/004_PD_1878_01_22_04.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_22/004_PD_1878_01_22_04.jpg.hocr"
29,8,"1", "1","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_25/001_PD_1878_01_25_01.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_25/001_PD_1878_01_25_01.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_25/001_PD_1878_01_25_01.jpg.hocr"
30,8,"2", "2","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_25/002_PD_1878_01_25_02.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_25/002_PD_1878_01_25_02.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_25/002_PD_1878_01_25_02.jpg.hocr"
31,8,"3", "3","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_25/003_PD_1878_01_25_03.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_25/003_PD_1878_01_25_03.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_25/003_PD_1878_01_25_03.jpg.hocr"
32,8,"4", "4","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_25/004_PD_1878_01_25_04.jpg","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_25/004_PD_1878_01_25_04.jpg.txt","/app/html/modules/custom/instance_initial_content/data/pages/PD_1878_01_25/004_PD_1878_01_25_04.jpg.hocr"
