"ID","Title","Place","Interval","Start Day","Start Month","Start Year","End Day","End Month","End Year","Dates Questionable","continuesFrom","continuedBy","mergedWith","toForm","absorbedBy","Harper #","Note"
213,"Acadie dimanche","Moncton","unknown",25,2,1973,,,,,,,,,,,
215,"Acaditout","Moncton","monthly",,9,1976,,,1977,,,,,,,,
341,"Advance","Saint John","unknown",,,1946,,,,,,,,,,,
96,"Agenutemegan","Fredericton","monthly",,11,1971,,,1989,"Yes",,,,,,,
98,"Akwinyan","Fredericton","unknown",123,2,1986,,,,,,,,,,,"Numbering of issues is irregular."
204,"Albert County Review","Hillsboro","weekly",,5,1862,,1,1863,,,,,,,121,
342,"Albion (1847)","Saint John","weekly",,6,1847,,,1849,,,,,,,25,
343,"Albion (1859)","Saint John","weekly",,4,1859,,,1860,"Yes",,"Saint John Albion",,,,26,
36,"Aquinian (Chatham, New Brunswick: 1935)","Chatham","irregular",,12,1935,,,1964,,,"Aquinian",,,,,
100,"Aquinian (Fredericton, New Brunswick: 1964)","Fredericton","irregular",,9,1964,,,,"Yes","Aquinian",,,,,,
344,"Atlantic Baptist","Saint John","unknown",1,1,1965,,,,,"Maritime Baptist",,,,,,
645,"Atlantic Coastguide","St. Stephen","irregular",,,1978,,,,,,,,,,,
345,"Atlas","Saint John","unknown",,,1844,,,,,,,,,,29,
346,"Aurora","Saint John","2/weekly",,9,1842,,,,,,,,,,21,
101,"Banner of New Brunswick","Fredericton","unknown",,1,1962,,,,"Yes",,,,,,,
293,"Base Gagetown Gazette","Oromocto","weekly",2,8,1972,16,10,1981,,"Gagetown Gazette","Canadian Forces Base Gagetown Gazette",,,,,
290,"Bay Pilot (North Head, New Brunswick: 1976)","North Head, Grand Manan","weekly",2,5,1876,21,3,1878,,,"Bay Pilot",,,,,
310,"Beacon Fundy Shore News Bulletin","Point Lepreau","monthly",,,1977,,,1985,,,,,,,,
102,"Beaver Express","Fredericton","2/monthly",,2,1972,,3,1972,"Yes",,,,,,,"Sub-title - A Community Newspaper."
216,"Bleuettes","Moncton","unknown",,6,1974,,12,1963,,,"Rencontre",,,,,
349,"Bluenose","Saint John","unknown",16,5,1843,,,,,,,,,,,
15,"Boiestown Record","Boiestown","weekly",,,1901,,,,,,,,,,,"Only one issue published"
16,"Brighton Advocate","Brighton","monthly",,12,1903,,,,"Yes",,,,,,,
350,"British Colonist (Saint John, New Brunswick: 1827)","Saint John","weekly",13,7,1827,,9,1828,,,"The British Colonist and New Brunswick Commercial Reporter",,,,214,
354,"British Constitution and Weekly Globe","Saint John","weekly",,,1859,,,1860,"Yes","British Constitution and Weekly Globe","Saint John Weekly Globe",,,,215,
355,"British North America","Saint John","3/weekly",,,1860,,,,,,,,,,216,
1,"Business Record","Albert","weekly",5,1,1886,,,,,,,,,,,
294,"Camp Gagetown Gazette","Oromocto","weekly",16,12,1960,7,4,1966,,,"Gagetown Gazette",,,,,
218,"Campus","Moncton","unknown",,,1968,,,1984,,,"Hebdo-Campus",,,,,
295,"Canadian Forces Base Gagetown Gazette","Oromocto","weekly",29,9,1966,8,10,1980,,"Gagetown Gazette","Gagetown Gazette",,,,,
92,"Carleton North News","Florenceville","weekly",5,4,1993,,12,1994,,,,,,,,
357,"Catholic Star","Saint John","weekly",,,,,,,,,,,,,225,"Only one issue published."
358,"Centennial","Saint John","irregular",,1,1965,13,2,1967,,,"Quidnunc",,,,,
