"intNewspaperID","strPlace","strNewspaper","strInterval","intStartingVolume","intStartingNumber","intStartingDay","intStartingMonth","intStartingYear","intEndingVolume","intEndingNumber","intEndingDay","intEndingMonth","intEndingYear","strContinuesFrom","strContinuedBy","strMergedWith","strToForm","strAbsorbedBy","intHarper","strNoteEN","strNoteFR","ysnContinued","ysnFrench","ysnDatesQuestionable"
"1","Albert","Business Record","weekly","1","1","5","1","1886","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","False"
"2","Albert","The Maple Leaf","weekly","1","1","0","0","1879","22","9","28","2","1901","-","-","-","-","-","126","-","-","False","False","False"
"3","Bath","The Gospel Standard","monthly","1","1","0","0","0","0","0","0","0","1932","-","-","-","-","-","0","Only reference is in newspaper obituary of Rev. G.A. Giberson, 1932. [Source unknown].","Mentionné uniquement dans la notice nécrologique de journal du révérend G.A. Giberson, 1932 [source inconnue].","False","False","True"
"4","Bathurst","L'Acayen","irregular","0","0","0","0","1972","0","0","0","0","1976","-","-","-","-","-","0","-","-","False","True","False"
"5","Bathurst","The Bathurst Tribune","weekly","1","1","15","6","1971","2","46","25","4","1973","-","12","-","-","-","0","Bilingual paper from 1971 N 16-1972 Jl 26.  A separate French section was called ""La Tribune Chaleur"", 1972 Jl 26-1973 Al 25","Journal bilingue du 16 novembre 1971 au 26 juillet 1972. Une section française distincte était intitulée « La Tribune Chaleur », du 26 juillet 1972 au 25 avril 1973.","False","False","False"
"6","Bathurst","Le Courrier des Provinces Maritimes","weekly","1","1","27","8","1885","0","0","0","0","1903","-","-","-","-","-","1","Title varies 1898 ma 19 - 1899 dec ""Courrier des Provinces Maritimes and Gloucester Chronicle"".","Le titre varie en 1898 ma 19 - 1899 dec ""Courrier des Provinces Maritimes and Gloucester Chronicle"".","False","True","False"
"7","Bathurst","L'Echo du Sacré-Coeur","monthly","1","1","0","12","1935","28","1","26","9","1969","-","-","-","-","-","0","-","-","False","True","False"
"8","Bathurst","The Gloucester Northern Light","weekly","1","1","17","12","1913","36","24","24","5","1951","-","10","-","-","-","3","-","-","False","False","False"
"9","Bathurst","Northern Light","weekly","0","0","0","0","1863","0","0","0","0","0","-","-","-","-","-","4","Harper indicates a prospectus called ""The Northern Star and Bay of Chaleur Advertiser"".","Harper mentionne un prospectus intitulé « The Northern Star and Bay of Chaleur Advertiser ».","True","False","False"
"10","Bathurst","The Northern Light","weekly","36","25","31","5","1951","0","0","0","0","0","8","-","-","-","-","3","-","-","True","False","False"
"11","Bathurst","Le Point","weekly","0","1","4","12","1978","0","22","7","9","1983","-","-","33","34","-","0","-","-","False","True","False"
"12","Bathurst","The Tribune","weekly","2","47","2","5","1973","0","0","15","3","1978","5","-","-","-","-","0","No volume or number on issues for 1976-78.  Separate French Secion called ""La Tribune Chaleur"":, 1973 Ma 2 - 1975 F 12; ""La Tribune de nord-est"":, 1975 F 19 - 1976 D 29.","Aucune indication de volume ou de numéro sur les éditions de 1976-1978. Section française distincte intitulée « La Tribune Chaleur » du 2 mai 1973 au 12 février 1975; « La Tribune du Nord-Est » du 19 février 1975 au 29 décembre 1976.","False","False","False"
"13","Black's Harbour","The Fundy Fisherman","weekly","1","1","12","6","1929","41","16","30","7","1969","-","-","-","-","-","7","Printed in Saint John 1929 S 20 - 1950 Ja 25\nTitle also appears as ""The Fundy Fisherman of Black's Harbour, Charlotte County, N.B.""","Imprimé à Saint John du 20 septembre 1929 au 25 janvier 1950. Aussi publié sous le nom « The Fundy Fisherman of Black's Harbour, Charlotte County, N.B.»","False","False","False"
"14","Blackville","The Advertiser","weekly","1","1","0","0","1905","0","0","0","0","1906","-","-","-","-","-","0","-","-","False","False","True"
"15","Boiestown","Boiestown Record","weekly","1","1","0","0","1901","0","0","0","0","0","-","-","-","-","-","0","Only one issue published","Une seule édition a été publiée.","False","False","False"
"16","Brighton","Brighton Advocate","monthly","0","0","0","12","1903","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","True"
"17","Cambridge","The Valley Banner","2/weekly","1","1","0","11","1951","6","0","0","7","1957","-","-","-","-","-","9","-","-","False","False","False"
"18","Campbellton","L'Aviron","weekly","0","0","12","4","1962","0","0","0","0","0","-","-","-","-","-","0","Includes a section entitled ""L'Aviron Québécois,"" published in New Richmond, Quebec, D 1982?-","Comprend une section intitulée: ""L'Aviron Québécois""   publié à New Richmond, Quebec, D 1982?-","True","True","False"
"19","Campbellton","The Campbellton Graphic","varies","11","0","2","1","1909","73","15","10","11","1983","22,23","-","-","-","-","11","No volume and number on 1909-11 issues but this statement appears - ""Established: Events 1898 Graphic 1907:.  Continued the volumning of Events.  Volume numbering repeated from v 62?-73, 1872-83.  Earlier errors in numbering also.","Les éditions de 1909 à 1911 ne portent aucune mention de volume ou de numéro mais affichent l'énoncé suivant : « Established: Events 1898 Graphic 1907 ». La numérotation des volumes est répétée dans les volumes 62? à 73, 1872-1883. Autres erreurs dans la numérotation antérieure.","False","False","False"
"20","Campbellton","The Campbellton Tribune","weekly","0","0","0","0","1926","84","5","28","12","1988","27","27","-","-","-","1","-","-","False","False","False"
"21","Campbellton","L'Echo de Campbellton","monthly","1","1","0","5","1921","7","9","0","5","1928","-","-","-","-","-","0","-","-","False","False","True"
"22","Campbellton","Events","varies","1","1","0","0","1899","0","0","0","12","1908","-","-","23","19","-","14","-","-","False","False","False"
"23","Campbellton","Graphic","daily","0","0","0","0","1907","0","0","0","0","1909","-","-","22","19","-","15","Known briefly as ""The Morning Graphic"".","Connu brièvement sous le nom « The Morning Graphic ».","False","False","True"
"24","Campbellton","The Northern Enterprise","weekly","1","1","0","4","1893","6","0","0","0","1898","-","-","-","-","-","16","-","-","False","False","True"
"25","Campbellton","Restigouche Pioneer","unknown","1","1","25","3","1889","0","0","0","0","1892","-","-","-","-","-","17","Special number in 1890 called:  ""Christmas Pioneer"".","Édition spéciale appelée « Christmas Pioneer » en 1890.","False","False","True"
"26","Campbellton","The Restigouche Telephone","2/weekly","1","1","8","4","1897","0","0","0","0","1901","-","-","-","-","-","1","-","-","False","False","True"
"27","Campbellton","The Tribune","varies","1","1","0","0","1905","0","0","0","0","0","20","20","72","-","-","12","-","-","True","False","True"
"28","Cap-Pelé","La Boueille","weekly","0","1","2","7","1975","0","38","27","5","1981","-","-","-","-","-","0","-","-","False","True","False"
"29","Caraquet","L'Acadie Nouvelle","daily","1","1","7","6","1984","0","0","0","0","0","-","-","-","-","-","0","-","-","True","True","False"
"30","Caraquet","L'Acadien","unknown","0","0","0","0","1868","0","0","0","0","0","-","-","-","-","-","0","-","-","False","True","True"
"31","Caraquet","Hebdo péninsule","weekly","1","1","12","9","1990","1","31","17","4","1991","-","-","-","-","-","0","-","-","False","True","False"
"32","Caraquet","L'indice économique","monthly","1","1","29","3","1990","1","3","31","5","1990","-","-","-","-","-","0","-","-","False","True","False"
"33","Caraquet","Le Voilier","varies","1","1","0","8","1965","0","0","17","7","1990","34","-","11","34","-","0","-","-","False","True","False"
"34","Caraquet","Le Voilier/Le Point","weekly","0","1","14","9","1983","0","27","8","2","1988","-","33","-","-","-","0","Created through the merging of ""Le Voilier"" and ""Le Point""  (Bathurst)","formé par la fusion de:  Le Voilier et de Le Point (Bathurst)","False","True","False"
"35","Caraquet","Week-End","weekly","1","1","4","6","1984","4","41","5","2","1988","-","-","-","-","-","0","-","-","False","True","False"
"36","Chatham","Aquinian","irregular","1","1","0","12","1935","0","0","0","0","1964","-","100","-","-","-","0","-","-","False","False","False"
"37","Chatham","Chatair","irregular","1","1","0","0","1951","0","0","0","0","1967","-","-","-","-","-","0","-","-","True","False","False"
"38","Chatham","Chatham Gazette","varies","8","27","1","10","1917","0","0","28","6","1961","43","-","-","-","-","24","-","-","False","False","False"
"39","Chatham","The Colonial Times and Miramichi Educational Commercial and Literary Gazette","unknown","1","1","0","7","1858","0","0","0","0","1859","-","-","-","-","-","21","-","-","False","False","True"
"40","Chatham","The Colonial Times and Miramichi Weekly Gazette","weekly","1","1","29","8","1856","0","0","0","0","1865","-","-","-","-","-","21","-","-","False","False","True"
"41","Chatham","The Commercial","weekly","1","1","6","9","1898","31","31","19","3","1929","63","-","69","42","-","22","Benson, J. Fred - Editor, 1898-1929","Éditeur : J. Fred Benson, 1898-1929","False","False","False"
"42","Chatham","The Commercial and The World","weekly","31","32","26","3","1929","0","0","0","9","1964","42","-","-","-","-","23","-","-","False","False","True"
"43","Chatham","Chatham Gazette","3/weekly","1","1","27","7","1910","8","26","28","9","1917","-","38","-","-","-","24","-","-","False","False","False"
"44","Chatham","The Gleaner a Literary, Political, Agricultural, Commercial and General News Journal","weekly","0","0","0","0","1874","3","0","0","0","1879","46","45","-","-","-","25","New series of numbering began in 1876.","Nouvelle numérotation à partir de 1876.","False","False","True"
"45","Chatham","The Gleaner a Literary, Political and General News Journal","weekly","3","0","0","0","1879","4","33","17","4","1880","45","-","-","-","-","25","-","-","False","False","True"
"46","Chatham","The Gleaner and Counties of Northumberland, Kent, Gloucester, Restigouche, Gaspe, and Bonaventure.  Agricultural, commercial, political and local news journal","weekly","1","1","17","2","1866","8","0","27","12","1873","47","44","-","-","-","25","-","-","False","False","True"
"47","Chatham","The Gleaner and Northumberland, Kent, Gloucester and Restigouche Commercial and Agricultural Journal","weekly","1","1","27","9","1842","22","0","30","12","1865","49","46","-","-","-","25","-","-","False","False","False"
"48","Chatham","The Gleaner and Northumberland, Kent, Gloucester and Restigouche Schediasma","weekly","10","2","25","9","1838","13","52","20","9","1842","48","47","-","-","-","25","-","-","False","False","False"
"49","Chatham","The Gleaner and Northumberland, Kent and Gloucester Schediasma","weekly","7","1","8","9","1835","10","1","1","9","1838","50","48","-","-","-","25","-","-","False","False","False"
"50","Chatham","The Gleaner and Northumberland Schediasma","weekly","1","1","28","7","1829","6","52","1","9","1835","53","49","-","-","-","25","-","-","False","False","False"
