intKey,intNewspaperFK,strMicrofilmedBy,intReels,strNote
1,2,NBFA,6,-
2,4,NBMOU,1,-
3,6,CLA,6,-
4,8,NBFU,18,-
5,10,NBFU,26,-
6,11,NBMOUA,7,-
7,12,NBFU,7,-
8,13,LC,12,-
9,13,NBFU,1,-
10,18,NBFU,0,-
11,18,NBMOUA,46,-
12,19,NBFU,56,-
13,20,NBFU,19,-
14,22,NBFU,5,-
15,27,NBFU,35,-
16,28,NBMOUA,3,-
17,29,CSM,0,-
18,31,NBMOUA,1,-
19,33,NBSAM,0,-
20,33,NBMOUA,31,-
21,34,NBMOUA,31,-
22,35,NBMOUA,5,-
23,38,NBFU,24,-
24,41,NBFA,14,-
25,43,NBFU,4,-
26,45,CLA,0,-
27,46,CLA,0,-
28,47,CLA,0,-
29,48,CLA,0,-
30,49,CLA,0,-
31,50,CLA,0,-
32,53,CLA,2,-
33,54,NBFU,15,-
34,55,NBFA,0,-
35,57,NBFA,2,-
36,58,NBFA,11,-
37,59,NBFU,0,-
38,62,NBFA,14,-
39,63,NBFA,1,-
40,64,NBFA,1,-
41,65,NBFU,1,-
42,66,NBFU,0,-
43,69,NBFA,48,-
44,70,NBFU,1,-
45,70,NBFA,2,-
46,72,NBFA,0,-
47,78,NBSAM,1,-
48,80,NBFU,0,-
49,82,NBFU,0,-
50,82,NBMOUA,64,-
51,85,NBMOUA,4,-
52,89,NBFA,0,-
53,97,NBFU,1,-
54,105,NBFU,25,-
55,106,CLA,0,-
56,106,NBFA,0,-
57,107,NBFU,0,-
58,108,NBFA,3,-
59,109,CLA,3,-
60,109,NBFU,1,-
61,113,NBFA,700,-
62,116,NBFA,0,-
63,120,CLA,0,-
64,122,CLA,0,-
65,125,NBFU,2,-
66,127,CLA,1,-
67,129,NBFU,6,-
68,131,NBFU,0,-
69,132,CLA,3,[1853-68]
70,133,CLA,3,-
71,134,NBFU,4,-
72,137,NBSAM,0,-
73,138,NBSAM,0,-
74,139,NBSAM,0,-
75,141,NBFU,5,-
76,142,NBFU,1,-
77,146,CLA,0,-
78,147,CLA,0,-
79,148,CLA,0,-
80,150,NBS,0,-
81,151,NBFA,1,-
82,152,NSWA,0,-
83,153,CLA,0,-
84,153,NBFU,1,1891
85,154,CLA,0,-
86,155,CLA,0,1828-41
87,155,NBFA,0,1840-41; 1842 Mr 1-1977
88,156,NBFA,0,-
89,159,NBFU,2,-
90,160,NBFU,0,-
91,161,NBFA,1,-
92,162,CLA,0,1888 Au 18-S 29
93,163,CLA,0,-
94,169,NBFU,8,-
95,173,NBFU,0,-
96,174,NBFU,1,-
97,177,NBFU,2,-
98,178,NBFU,0,-
99,179,NBFU,0,-
100,181,MBMOUA,0,-
101,182,NBMOUA,0,-
102,183,NBMOUA,0,-
103,183,NBFU,0,-
104,184,NBMOUA,0,-
105,193,CLA,2,1894-98
106,195,NBFU,11,-
107,196,NBFA,0,-
110,198,NBFU,1,-
111,200,NBFU,46,-
112,200,NBFA,4,-
113,203,NBFA,2,-
114,205,NBSAM,3,-
115,206,NBFU,1,-
116,209,NBFU,1,-
117,210,NBMOUA,1,-
118,212,NBFU,0,-
119,214,CLA,6,-
120,218,NBMOUA,0,-
121,222,NBFA,0,-
122,223,NBFA,0,-
123,224,OOA,1,-
124,225,NBMOUA,0,-
125,226,CLA,0,-
126,226,NBMOU,0,-
127,226,OOA,0,-
128,226,SCM,162,-
129,228,NBMOUA,9,-
130,229,NBMOUA,0,-
131,232,NBMOUA,3,-
132,234,NBMOUA,0,-
133,237,NBMOUA,0,-
134,238,NBMOUA,0,-
135,239,NBMOUA,0,-
136,243,NBMOUA,0,-
137,244,NBMOUA,0,-
138,245,NBMOUA,0,-
139,246,NBFA,0,Moncton Publishing
140,248,NBMOU,0,-
141,249,NBMP,0,-
142,250,NBFA,0,-
143,250,NBMP,0,-
144,251,NBMOUA,0,-
145,252,NBMOUA,1,-
146,253,NBMOUA,2,-
147,258,NBMOUA,0,-
148,260,OOA,0,-
149,264,NBFA,0,-
150,268,NBMOUA,0,-
151,271,NBMP,0,-
152,271,NBFA,46,-
153,274,NBMP,0,-
154,276,NBFA,0,-
155,282,NBFA,0,-
156,283,NBMOUA,0,-
157,284,KODAK,1,-
158,285,NBFA,13,-
159,286,NBFU,1,-
160,287,NBFU,38,-
161,289,CLA,2,-
162,289,NBFU,50,-
163,291,NBFA,0,-
164,292,NBFA,0,-
165,298,NBFU,4,-
166,299,NBFU,18,-
167,300,CLA,0,1785 Jl 23
168,303,NBFA,13,-
169,304,NBFU,6,-
170,306,NBFU,7,-
171,307,NBMOUA,1,-
172,308,NBMOUA,0,-
173,314,NBMOUA,0,-
174,316,NBFU,10,-
175,325,NBSAM,15,-
176,327,CLA,1,-
177,328,NBSAM,1,-
178,329,NBSAM,4,-
179,331,NBSAM,0,-
180,332,CLA,0,1893-1920
181,332,NBFA,30,1912-24
182,333,NBSAM,0,-
183,334,NBSAM,22,-
184,335,NBSAM,0,-
185,336,NBSAM,0,-
186,337,NBSAM,1,-
187,338,NBSAM,0,-
188,340,CLA,0,-
189,344,NBAU,0,-
190,364,NSWA,0,1847-1871, 1878-1883
191,364,NBFU,0,-
192,365,NSWA,0,-
193,365,OOA,0,-
194,367,NBFA,1,-
195,369,NBS,0,-
196,370,OCNA,0,1986 -
197,371,NBSAM,3,-
198,373,NBSAM,0,-
199,380,CLA,0,-
200,384,NBS,0,-
201,385,CLA,0,1862-66
202,386,CLA,0,-
203,389,CLA,0,-
204,390,CLA,0,-
205,393,CLA,0,-
206,394,CLA,0,-
207,394,NBSAM,82,-
208,395,NBSAM,40,-
209,407,NBS,0,-
210,408,NBFA,0,-
211,413,NBFA,12,-
212,414,BH,0,-
213,414,NBFA,0,-
214,414,NBS,3,-
215,421,NBFA,1,-
216,423,NBFA,0,-
217,424,CLA,0,-
218,429,TUNS,0,-
219,435,CLA,0,-
220,451,NBSAM,0,-
221,453,NBSAM,0,-
222,454,NBSAM,0,-
223,456,NSWA,0,-
224,458,OCNA,0,-
225,459,NSWA,0,-
226,462,CLA,0,-
227,464,CLA,0,-
228,465,CLA,0,-
229,467,CLA,0,-
230,470,CLA,0,1864-65
231,475,CLA,0,-
232,475,NBFA,14,-
233,478,OCNA,0,-
234,479,CMP,0,-
235,483,CLA,0,-
236,484,CLA,0,1867-78
237,485,NBFA,33,-
238,496,NBFU,12,-
239,503,NBFA,0,1853-55
240,503,NSWA,11,1853-86
241,505,CLA,0,[1802-15]
242,506,CLA,0,[1785-1802]
243,514,CLA,0,-
244,515,CLA,0,1803 Jl 9 1807
245,516,CLA,0,-
246,517,CLA,0,1786-99
247,518,CLA,0,-
248,518,NBSAM,0,-
249,518,NBS,42,-
250,523,QQLA,0,Technical University of Nova Scotia
251,524,CLA,0,-
252,526,CLA,0,-
253,533,NBFA,0,-
254,537,PANB,0,-
255,537,NBFA,20,-
256,544,NBSAM,0,-
257,545,NBSAM,0,-
258,546,CLA,0,-
259,547,CLA,0,-
260,551,CLA,0,-
261,552,CLA,0,-
262,553,CLA,0,-
263,554,CLA,0,-
264,555,CLA,0,-
265,557,NBFA,0,-
266,558,NBFA,32,-
267,559,CLA,0,1878 N 8 - 1884 Au 2
268,560,NBFA,0,-
269,562,NBFA,0,-
270,563,NBFA,0,-
271,564,NBFA,0,-
272,567,OCNA,0,-
273,571,NBFA,0,1924 Jl 2 1978; 1979-1982
274,571,BH,0,1970-86
275,571,CMP,0,1987-
276,584,CLA,0,-
277,590,NBFU,1,-
278,592,NBSAM,0,-
279,598,QQLA,0,1858 Ma 21 Jn 9
280,605,CLA,0,1862 S 27 1863 D 31
