intKey,intPublisherKey,intNewspaperKey
3,1,216
4,2,419
5,3,32
6,4,241
7,4,280
8,5,206
9,6,144
10,7,22
11,7,23
12,8,272
13,9,79
14,9,84
15,10,233
16,11,118
17,11,126
18,12,256
19,13,317
20,14,432
21,15,159
22,16,431
23,16,439
24,16,585
25,17,63
26,17,64
27,18,80
28,19,165
29,20,369
30,20,384
31,20,511
32,21,24
33,22,677
34,22,301
35,22,93
36,22,693
37,23,76
38,23,55
39,23,58
40,24,490
41,25,601
42,26,422
43,26,107
44,26,143
45,27,107
46,27,143
47,28,577
48,29,215
49,30,81
50,31,95
51,32,37
52,33,210
53,34,26
54,35,197
55,35,201
56,36,604
57,37,461
58,38,219
59,39,370
60,40,627
61,41,240
62,42,7
63,43,620
64,44,262
65,45,59
66,45,142
67,46,697
68,47,41
69,48,434
70,49,690
71,50,696
72,51,436
73,52,189
74,52,608
75,53,662
76,54,130
77,54,45
78,55,176
79,55,94
80,56,74
81,57,83
82,58,589
83,59,236
84,60,190
85,61,212
86,62,341
87,63,455
88,64,111
89,65,33
90,66,308
91,67,29
92,68,307
93,69,619
94,70,34
95,70,35
96,71,28
97,72,448
98,73,447
99,74,441
100,75,609
101,76,380
102,76,465
103,76,467
104,76,551
105,76,552
106,76,553
107,76,554
108,77,211
109,78,16
110,79,503
111,80,421
112,81,607
113,82,487
114,83,13
115,84,89
116,85,423
117,85,644
118,86,689
119,87,186
120,88,349
121,88,430
122,89,348
123,90,435
124,91,202
125,92,427
126,93,31
127,94,185
128,94,303
129,94,92
130,95,114
131,96,381
132,96,168
133,97,145
134,98,434
135,99,39
136,100,17
137,101,226
138,101,213
139,102,314
140,103,217
141,104,90
142,105,505
143,105,506
144,106,582
145,107,30
146,108,203
147,109,284
148,110,264
149,111,194
150,112,590
151,113,230
152,114,579
153,115,651
154,115,437
155,115,438
156,116,291
157,116,191
158,117,178
159,118,452
160,119,173
161,120,125
162,121,86
163,121,87
164,122,82
165,123,115
166,123,157
167,124,456
168,124,459
169,125,332
170,126,687
171,127,477
172,128,494
173,129,124
174,130,694
175,131,182
176,131,184
177,131,183
178,132,187
179,133,8
180,134,340
181,135,61
182,136,523
183,137,495
184,138,505
185,139,318
186,140,399
187,141,140
188,142,420
189,143,101
190,144,571
191,144,479
192,145,485
193,146,594
194,147,62
195,148,263
196,149,220
197,150,298
198,151,21
199,152,612
200,153,44
201,153,45
202,153,49
203,153,47
204,153,48
205,153,50
206,153,53
207,154,46
208,155,25
209,156,162
210,156,163
211,157,460
212,158,584
213,159,458
214,159,478
215,159,567
216,159,593
217,160,181
218,161,242
219,162,3
220,163,212
221,164,500
222,165,502
223,166,136
224,166,443
225,166,680
226,167,91
227,168,2
228,169,102
229,170,256
230,171,324
231,172,505
232,172,506
233,173,474
234,174,645
235,175,398
236,176,426
237,177,428
238,177,476
239,178,211
240,179,267
241,180,54
242,180,499
243,180,65
244,181,506
245,182,501
246,182,600
247,183,292
248,184,649
249,184,650
250,184,654
251,185,556
252,186,440
253,187,643
254,188,36
255,189,100
256,190,98
257,191,560
258,192,305
259,193,69
260,194,177
261,195,661
262,196,663
263,196,664
264,197,530
265,198,488
266,198,563
267,198,566
268,199,161
269,200,319
270,200,320
271,200,321
272,201,346
273,202,688
274,203,44
275,203,46
276,204,205
277,205,20
278,206,6
279,207,96
280,208,235
281,208,254
282,208,279
283,209,225
284,209,229
285,209,232
286,209,237
287,209,238
288,209,239
289,209,243
290,209,244
291,209,245
292,209,251
293,209,258
294,209,268
295,210,613
296,210,614
297,211,105
298,212,347
299,212,358
300,212,404
301,212,489
302,212,498
303,212,539
304,212,586
305,212,588
306,213,6
307,214,178
308,215,209
309,216,104
310,217,611
311,218,2
312,219,463
313,219,471
314,219,577
315,219,353
316,220,312
